Sample-id	Type	Area	Plant	Vector	PWN	PWN number	Vector number	Latitude	Longitude	Annual average temperature	Annual average rainfall	Collection	Year	Month	Day	Gender_TR
MSYM3	TR	LN	PT	MS	0							20180508	2018	5	8	Male
MSYM4	TR	LN	PT	MS	0							20180508	2018	5	8	Male
MSYM5	TR	LN	PT	MS	0							20180509	2018	5	9	Male
NMSYF1	TR	LN	PT	MS	0							20180509	2018	5	9	Male
NMSYF2	TR	LN	PT	MS	0							20180509	2018	5	9	Female
NMSYF3	TR	LN	PT	MS	0							20180509	2018	5	9	Female
NMSYF4	TR	LN	PT	MS	0							20180509	2018	5	9	Female
NMSYM1	TR	LN	PT	MS	0							20180509	2018	5	9	Male
NMSYM2	TR	LN	PT	MS	0							20180509	2018	5	9	Male
SXM7	TR	SX	PA	Ma	1							20190517	2019	5	17	Male
SXM8	TR	SX	PA	Ma	1							20190626	2019	6	26	Male
SXMAF2	TR	SX	PA	Ma	1							20180520	2018	5	20	Female
SXMAM2	TR	SX	PA	Ma	1							20180521	2018	5	21	Male
SXMAM6	TR	SX	PA	Ma	0							20180527	2018	5	27	Male
ZSF1	TR	SX	PA	Ma	0							20180530	2018	5	30	Female
ZSF2	TR	SX	PA	Ma	0							20180601	2018	6	1	Female
ZSF3	TR	SX	PA	Ma	0							20180607	2018	6	7	Female
ZSF4	TR	SX	PA	Ma	0							20180617	2018	6	17	Female
ZSM1	TR	SX	PA	Ma	0							20180528	2018	5	28	Male
ZSM2	TR	SX	PA	Ma	0							20180528	2018	5	28	Male
AF1	TR	AH	PM	Ma	1							20180522	2018	5	22	Female
AF10	TR	AH	PM	Ma	1							20190520	2019	5	20	Female
AF11	TR	AH	PM	Ma	0							20190520	2019	5	20	Female
AF12	TR	AH	PM	Ma	0							20190525	2019	5	25	Female
AF2	TR	AH	PM	Ma	0							20180525	2018	5	25	Female
AF3	TR	AH	PM	Ma	1							20180525	2018	5	25	Female
AF4	TR	AH	PM	Ma	1							20180526	2018	5	26	Female
AF5	TR	AH	PM	Ma	1							20180526	2018	5	26	Female
AF6	TR	AH	PM	Ma	1							20180530	2018	5	30	Female
AF7	TR	AH	PM	Ma	1							20190513	2019	5	13	Female
AF8	TR	AH	PM	Ma	0							20190517	2019	5	17	Female
AF9	TR	AH	PM	Ma	0							20190517	2019	5	17	Female
AM1	TR	AH	PM	Ma	1							20180521	2018	5	21	Male
AM10	TR	AH	PM	Ma	0							20190526	2019	5	26	Male
AM11	TR	AH	PM	Ma	0							20190527	2019	5	27	Male
AM12	TR	AH	PM	Ma	0							20190528	2019	5	28	Male
AM13	TR	AH	PM	Ma	0							20190528	2019	5	28	Male
AM2	TR	AH	PM	Ma	1							20180523	2018	5	23	Male
AM3	TR	AH	PM	Ma	1							20180523	2018	5	23	Male
AM4	TR	AH	PM	Ma	1							20180525	2018	5	25	Male
AM5	TR	AH	PM	Ma	1							20180525	2018	5	25	Male
AM6	TR	AH	PM	Ma	1							20180530	2018	5	30	Male
AM7	TR	AH	PM	Ma	1							20190510	2019	5	10	Male
AM9	TR	AH	PM	Ma	0							20190526	2019	5	26	Male
ZF12	TR	ZJ	PM	Ma	0							20190617	2019	6	17	Female
ZF13	TR	ZJ	PM	Ma	0							20190626	2019	6	26	Female
ZF7	TR	ZJ	PM	Ma	0							20190604	2019	6	4	Female
ZF8	TR	ZJ	PM	Ma	0							20190605	2019	6	5	Female
ZM10	TR	ZJ	PM	Ma	0							20190610	2019	6	10	Female
ZM11	TR	ZJ	PM	Ma	0							20190610	2019	6	10	Female
ZM12	TR	ZJ	PM	Ma	0							20190610	2019	6	10	Female
ZM14	TR	ZJ	PM	Ma	0							20190612	2019	6	12	Female
ZMA	TR	ZJ	PM	Ma	0							20180508	2018	5	8	Female
ZMAF1	TR	ZJ	PM	Ma	0							20180515	2018	5	15	Female
ZMAF2	TR	ZJ	PM	Ma	0							20180516	2018	5	16	Female
ZMAF3	TR	ZJ	PM	Ma	0							20180518	2018	5	18	Female
ZMAF4	TR	ZJ	PM	Ma	0							20180519	2018	5	19	Female
ZMAF5	TR	ZJ	PM	Ma	0							20180519	2018	5	19	Female
ZMAF6	TR	ZJ	PM	Ma	0							20180519	2018	5	19	Female
ZMAM1	TR	ZJ	PM	Ma	0							20180515	2018	5	15	Male
ZMAM2	TR	ZJ	PM	Ma	0							20180515	2018	5	15	Male
ZMAM3	TR	ZJ	PM	Ma	0							20180516	2018	5	16	Male
ZMAM4	TR	ZJ	PM	Ma	0							20180517	2018	5	17	Male
ZMAM5	TR	ZJ	PM	Ma	0							20180518	2018	5	18	Male
ZMAM6	TR	ZJ	PM	Ma	0							20180518	2018	5	18	Male
ZMAM7	TR	ZJ	PM	Ma	0							20180518	2018	5	18	Male
ZTR1	TR	ZJ	PM	Ma	1							20180605	2018	6	5	Male
ZTR10	TR	ZJ	PM	Ma	1							20180610	2018	6	10	Male
ZTR11	TR	ZJ	PM	Ma	1							20180610	2018	6	10	Female
ZTR12	TR	ZJ	PM	Ma	1							20180610	2018	6	10	Male
ZTR2	TR	ZJ	PM	Ma	1							20180605	2018	6	5	Female
ZTR3	TR	ZJ	PM	Ma	1							20180607	2018	6	7	Male
ZTR4	TR	ZJ	PM	Ma	1							20180607	2018	6	7	Male
ZTR5	TR	ZJ	PM	Ma	1							20180609	2018	6	9	Male
ZTR7	TR	ZJ	PM	Ma	1							20180609	2018	6	9	Male
ZTR9	TR	ZJ	PM	Ma	1							20180610	2018	6	10	Female
JF1	TR	JS	PM	Ma	1							20180525	2018	5	25	Female
JF10	TR	JS	PM	Ma	0							20190627	2019	6	27	Female
JF11	TR	JS	PM	Ma	1							20190627	2019	6	27	Female
JF12	TR	JS	PM	Ma	0							20190518	2019	5	18	Female
JF2	TR	JS	PM	Ma	1							20180527	2018	5	27	Female
JF3	TR	JS	PM	Ma	1							20180610	2018	6	10	Female
JF4	TR	JS	PM	Ma	1							20180615	2018	6	15	Female
JF5	TR	JS	PM	Ma	1							20180615	2018	6	15	Female
JF6	TR	JS	PM	Ma	1							20180617	2018	6	17	Female
JF7	TR	JS	PM	Ma	0							20190608	2019	6	8	Female
JF8	TR	JS	PM	Ma	0							20190614	2019	6	14	Female
JF9	TR	JS	PM	Ma	0							20190614	2019	6	14	Female
JM1	TR	JS	PM	Ma	1							20180527	2018	5	27	Male
JM10	TR	JS	PM	Ma	0							20190625	2019	6	25	Male
JM11	TR	JS	PM	Ma	0							20190625	2019	6	25	Male
JM12	TR	JS	PM	Ma	0							20190625	2019	6	25	Male
JM2	TR	JS	PM	Ma	1							20180527	2018	5	27	Male
JM3	TR	JS	PM	Ma	1							20180530	2018	5	30	Male
JM4	TR	JS	PM	Ma	1							20180530	2018	5	30	Male
JM5	TR	JS	PM	Ma	0							20180530	2018	5	30	Male
JM6	TR	JS	PM	Ma	0							20190618	2019	6	18	Male
JM7	TR	JS	PM	Ma	0							20190618	2019	6	18	Male
JM8	TR	JS	PM	Ma	0							20190618	2019	6	18	Male
JM9	TR	JS	PM	Ma	0							20190624	2019	6	24	Male
LND3-1	D3	LN	PT	Ms								20180415	2018	4	15	
LND3-2	D3	LN	PT	Ms								20180415	2018	4	15	
LND3-3	D3	LN	PT	Ms								20180415	2018	4	15	
ZJD4-1	D4	ZJ	PM	Ma								20180606	2018	6	6	
ZJD4-2	D4	ZJ	PM	Ma								20180606	2018	6	6	
JSD4	D4	JS	PM	Ma								20190502	2019	5	2	
SXD4	D4	SX	PA	Ma								20190517	2019	5	17	
LNYP1	Ln	LN										20180425	2018	4	25	
LNYP2	Ln	LN										20180425	2018	4	25	
LNYP3	Ln	LN										20180425	2018	4	25	
JSLn	Ln	JS	PM	MA								20180513	2018	5	13	
AHD4-11	D4	AH	PM	MA								20200616	2020	6	16	
AHD4-1	D4	AH	PM	MA								20200616	2020	6	16	
AHD4-2	D4	AH	PM	MA								20200701	2020	7	1	
AHD320	D3	AH	PM	MA								20200521	2020	5	21	
JSD320	D3	JS	PM	MA								20200515	2020	5	15	
LND318	D3	LN	PT	MS								20180402	2018	4	2	
LND320	D3	LN	PT	MS								20200521	2020	5	21	
SXaD318	D3	SX	PA	MS								20180422	2018	4	22	
SXtD318	D3	SX	PT	MA								20180426	2018	4	26	
																
